Usando dispositivo: cuda
Usando dispositivo: cuda
Ejecutando solo la tarea de Detección de Presencia con modelo: 1
############################################################## 
##############################################################
presence model:  LSTM 
window:  1  --- package number:  8

archivo de datos de training para presencia NO encontrado: processed_data\presence\fullrooms_training_8.csv

generando datos de salas llenas para training...

generando datos de salas llenas para validacion...

generando datos de salas llenas para test...

generando datos de salas vacías para training...

generando datos de salas vacías para validacion...

generando datos de salas vacías para  test...

generando labels...

datos de presencia generados y guardados exitosamente. Generando etiquetas...

################# Salas llenas
shape train:  (1360, 52)  --- shape val:  (340, 52)  ---- shape test:  (425, 52)
shape train label:  (1360,)  --- shape val label:  (340,)  --- shape test label:  (425,)
################# Salas vacías
shape train:  (1360, 52)  --- shape val:  (340, 52)  --- shape test:  (425, 52)
shape train label:  (1360,)  --- shape val label:  (340,)  --- shape test label:  (425,)
############################################################################################

############################################################## 
window:  1  --- package number:  8
comenzando modelo LSTM
Epoch 1/100, Loss: 0.8386, Acc: 0.5000, Val Loss: 0.7271, Val Acc: 0.5000
Epoch 2/100, Loss: 0.7164, Acc: 0.5000, Val Loss: 0.7030, Val Acc: 0.5000
Epoch 3/100, Loss: 0.7088, Acc: 0.5000, Val Loss: 0.6980, Val Acc: 0.5000
Epoch 4/100, Loss: 0.7048, Acc: 0.5000, Val Loss: 0.6961, Val Acc: 0.5000
Epoch 5/100, Loss: 0.7022, Acc: 0.5000, Val Loss: 0.6953, Val Acc: 0.5000
Epoch 6/100, Loss: 0.7010, Acc: 0.5000, Val Loss: 0.6948, Val Acc: 0.5000
Epoch 7/100, Loss: 0.7001, Acc: 0.5000, Val Loss: 0.6944, Val Acc: 0.5000
Epoch 8/100, Loss: 0.6994, Acc: 0.5000, Val Loss: 0.6942, Val Acc: 0.5000
Epoch 9/100, Loss: 0.6984, Acc: 0.5000, Val Loss: 0.6940, Val Acc: 0.5000
Epoch 10/100, Loss: 0.6980, Acc: 0.5000, Val Loss: 0.6939, Val Acc: 0.5000
Epoch 11/100, Loss: 0.6970, Acc: 0.5000, Val Loss: 0.6938, Val Acc: 0.5000
Epoch 12/100, Loss: 0.6968, Acc: 0.5000, Val Loss: 0.6938, Val Acc: 0.5000
Epoch 13/100, Loss: 0.6957, Acc: 0.5000, Val Loss: 0.6938, Val Acc: 0.5000
Epoch 14/100, Loss: 0.6956, Acc: 0.5000, Val Loss: 0.6938, Val Acc: 0.5000
Epoch 15/100, Loss: 0.6954, Acc: 0.5000, Val Loss: 0.6937, Val Acc: 0.5000
Epoch 16/100, Loss: 0.6953, Acc: 0.5000, Val Loss: 0.6937, Val Acc: 0.5000
Epoch 17/100, Loss: 0.6952, Acc: 0.5000, Val Loss: 0.6937, Val Acc: 0.5000
Epoch 18/100, Loss: 0.6951, Acc: 0.5000, Val Loss: 0.6937, Val Acc: 0.5000
Epoch 19/100, Loss: 0.6950, Acc: 0.5000, Val Loss: 0.6937, Val Acc: 0.5000
Epoch 20/100, Loss: 0.6949, Acc: 0.5000, Val Loss: 0.6936, Val Acc: 0.5000
